# id_tile ra dec pos isky texp texp_ob tob_len irank ntile
       -2   104.2555  -43.5494   150.34  3   9.93  9.93  12.96  1  1 
       -4    82.2574  -20.2747   356.08  2  19.60 37.58  43.14  1  2 
       -5    82.2574  -20.2747   356.08  2  17.97 37.58  43.14  2  2 
       -7   242.9316  -14.6587    22.98  3   7.04 33.85  41.95  1  3 
     -586   242.9316  -14.6587    22.98  3  18.36 33.85  41.95  2  3 
   -18172   242.9316  -14.6587    22.98  3   8.45 33.85  41.95  3  3 
       -8   275.3004  -12.3131    18.85  3   7.30  7.30  10.33  1  1 
       -9     8.4306  -31.4415   208.24  3  20.70 40.81  46.38  1  2 
    -3081     8.4306  -31.4415   208.24  3  20.11 40.81  46.38  2  2 
      -10    57.7105  -42.6516   180.83  3   9.92  9.92  12.95  1  1 
      -11   160.1427  -33.9549   192.75  1  20.00 20.00  23.04  1  1 
      -13   191.0031  -13.1739   349.27  1  20.76 20.76  23.80  1  1 
      -14    15.7512  -72.5935   167.13  1  20.97 62.91  71.01  1  3 
   -32070    15.7512  -72.5935   167.13  1  20.98 62.91  71.01  2  3 
    -9491    15.7512  -72.5935   167.13  1  20.96 62.91  71.01  3  3 
      -16   354.4871  -20.4021   349.41  3   7.30 22.12  27.69  1  2 
      -18   354.4871  -20.4021   349.41  3  14.82 22.12  27.69  2  2 
      -17     6.9710  -73.8093   163.74  1  20.16 20.16  23.20  1  1 
      -19   109.0710  -70.6390   187.90  1  20.83 20.83  23.87  1  1 
      -20   243.0092   -3.9706   343.81  3   8.96  8.96  11.99  1  1 
      -21   300.4441  -21.1984   350.35  3  10.19 10.19  13.22  1  1 
      -23   248.0175  -18.6597    20.64  2  15.83 35.70  41.27  1  2 
   -11886   248.0175  -18.6597    20.64  2  19.87 35.70  41.27  2  2 
      -24    35.2095  -23.1242   345.96  1  20.15 20.15  23.18  1  1 
      -25    81.1541  -47.9511   162.93  2  19.17 34.21  39.78  1  2 
   -22705    81.1541  -47.9511   162.93  2  15.04 34.21  39.78  2  2 
      -26   128.0287   21.0509   335.85  2  19.14 37.97  43.53  1  2 
   -41605   128.0287   21.0509   335.85  2  18.83 37.97  43.53  2  2 
      -29   248.4186  -13.9142   355.29  1  20.05 20.05  23.08  1  1 
      -31    45.8691  -60.9138   202.79  1  20.31 20.31  23.35  1  1 
      -32    17.8724  -71.8284   166.74  1  20.74 20.74  23.77  1  1 
      -33   164.9910   -8.2807    17.56  1  20.40 20.40  23.43  1  1 
      -34    71.1366   -4.8880   348.85  3  12.37 12.37  15.40  1  1 
      -35    46.4336   -7.3758   342.67  3   7.01 21.38  26.95  1  2 
      -37    46.4336   -7.3758   342.67  3  14.38 21.38  26.95  2  2 
      -36   345.9257    2.5306   347.82  4   4.04  4.04   7.07  1  1 
      -38   231.1629  -39.8458   194.96  3  13.92 13.92  16.96  1  1 
      -39   351.9146  -38.4587   207.10  1  20.65 20.65  23.68  1  1 
      -40   127.0310  -53.1721   184.70  4   4.51  4.51   7.54  1  1 
      -41   342.6635  -31.0242   192.99  1  20.97 20.97  24.01  1  1 
      -42    30.5562   -8.3957     6.39  2  18.12 36.72  42.28  1  2 
      -43    30.5562   -8.3957     6.39  2  18.60 36.72  42.28  2  2 
      -44   185.4144   -6.2537   336.06  1  20.27 20.27  23.30  1  1 
      -45    17.0171  -68.4270   198.22  1  20.41 20.41  23.44  1  1 
      -46   116.2270  -30.6675   162.83  3  12.31 29.15  34.71  1  2 
   -13986   116.2270  -30.6675   162.83  3  16.84 29.15  34.71  2  2 
      -48   124.7159  -10.7062   342.84  3   7.45 24.97  30.53  1  2 
      -50   124.7159  -10.7062   342.84  3  17.52 24.97  30.53  2  2 
      -51     4.4823  -49.6483   200.68  1  20.59 20.59  23.62  1  1 
      -52    45.0112  -27.1561   165.85  1  20.57 20.57  23.61  1  1 
      -53    65.4757  -27.2973   179.24  3   7.12 26.64  32.21  1  2 
      -54    65.4757  -27.2973   179.24  3  19.53 26.64  32.21  2  2 
      -57   311.3601   -1.2517   337.85  3  20.54 41.63  49.73  1  3 
      -59   311.3601   -1.2517   337.85  3   8.04 41.63  49.73  2  3 
      -60   311.3601   -1.2517   337.85  3  13.05 41.63  49.73  3  3 
      -58   227.2041  -35.6431   157.28  3  16.99 16.99  20.02  1  1 
      -62   195.3580  -65.7009   187.76  1  20.67 20.67  23.70  1  1 
      -63   328.6516  -20.4352   345.27  2  17.75 17.75  20.78  1  1 
      -64    34.9177  -22.6903   345.84  4   9.85 26.55  39.72  1  5 
    -6009    34.9177  -22.6903   345.84  4   4.05 26.55  39.72  2  5 
     -731    34.9177  -22.6903   345.84  4   4.21 26.55  39.72  3  5 
     -225    34.9177  -22.6903   345.84  4   4.26 26.55  39.72  4  5 
    -6154    34.9177  -22.6903   345.84  4   4.18 26.55  39.72  5  5 
      -65    99.4532  -44.9011   206.42  3  11.79 38.71  46.81  1  3 
   -24867    99.4532  -44.9011   206.42  3   7.44 38.71  46.81  2  3 
   -17856    99.4532  -44.9011   206.42  3  19.48 38.71  46.81  3  3 
      -66   149.5212  -39.9198   192.32  3   7.31 20.41  25.98  1  2 
     -373   149.5212  -39.9198   192.32  3  13.11 20.41  25.98  2  2 
      -67   207.0336   -6.9517   344.75  3   7.91 28.25  33.82  1  2 
     -200   207.0336   -6.9517   344.75  3  20.34 28.25  33.82  2  2 
      -69    73.8978   -2.2131   342.33  1  20.38 20.38  23.41  1  1 
      -73   243.0203  -14.1920   350.17  1  20.41 20.41  23.44  1  1 
      -74   136.2803   12.2245   356.51  4   4.28 23.69  34.32  1  4 
    -6686   136.2803   12.2245   356.51  4   4.52 23.69  34.32  2  4 
    -6223   136.2803   12.2245   356.51  4   8.01 23.69  34.32  3  4 
    -6225   136.2803   12.2245   356.51  4   6.88 23.69  34.32  4  4 
      -75    23.7148  -43.8963   203.41  3   7.34 28.46  36.56  1  3 
    -7339    23.7148  -43.8963   203.41  3  14.09 28.46  36.56  2  3 
      -78    23.7148  -43.8963   203.41  3   7.02 28.46  36.56  3  3 
      -76   311.0854   -8.5638   346.94  3   9.42 50.31  60.95  1  4 
   -23685   311.0854   -8.5638   346.94  3  13.36 50.31  60.95  2  4 
   -23687   311.0854   -8.5638   346.94  3  20.49 50.31  60.95  3  4 
   -23684   311.0854   -8.5638   346.94  3   7.04 50.31  60.95  4  4 
      -77    84.1205  -13.6863   333.69  1  20.28 20.28  23.31  1  1 
      -79   339.5900  -32.6120   197.39  1  20.95 20.95  23.99  1  1 
      -80   185.6834  -40.1102   204.40  3  10.37 53.44  64.07  1  4 
      -83   185.6834  -40.1102   204.40  3   8.82 53.44  64.07  2  4 
      -81   185.6834  -40.1102   204.40  3  20.41 53.44  64.07  3  4 
      -82   185.6834  -40.1102   204.40  3  13.84 53.44  64.07  4  4 
      -84   111.9997  -72.8140   153.10  1  20.04 20.04  23.07  1  1 
      -86   190.2968   -0.7410     1.51  1  20.50 20.50  23.54  1  1 
      -87   228.4990  -39.3405   168.61  1  20.97 20.97  24.01  1  1 
      -88   354.3690  -39.9752   172.55  2  18.23 18.23  21.27  1  1 
      -89   221.6707  -14.9138     2.71  1  20.34 20.34  23.37  1  1 
      -90   198.1214  -24.0090   359.52  1  20.02 20.02  23.05  1  1 
      -92   173.9217  -67.1098   187.32  3   8.33  8.33  11.36  1  1 
      -96    20.3347   -9.7700   337.72  2  18.11 36.32  41.88  1  2 
   -12447    20.3347   -9.7700   337.72  2  18.21 36.32  41.88  2  2 
      -97   216.0281   -9.2863   331.25  3  10.03 10.03  13.06  1  1 
      -98   148.9025  -28.3481   175.02  4   7.83 12.59  18.16  1  2 
   -16192   148.9025  -28.3481   175.02  4   4.76 12.59  18.16  2  2 
      -99    96.9636  -64.0828   177.03  1  20.45 20.45  23.48  1  1 
     -100    91.2556  -28.8794   201.73  2  16.21 33.97  39.53  1  2 
   -36307    91.2556  -28.8794   201.73  2  17.76 33.97  39.53  2  2 
     -101   326.4691  -63.4925   209.63  4   7.82 45.13  68.43  1  9 
   -16213   326.4691  -63.4925   209.63  4   6.22 45.13  68.43  2  9 
    -8854   326.4691  -63.4925   209.63  4   4.31 45.13  68.43  3  9 
   -20585   326.4691  -63.4925   209.63  4   4.35 45.13  68.43  4  9 
   -28772   326.4691  -63.4925   209.63  4   4.48 45.13  68.43  5  9 
   -13684   326.4691  -63.4925   209.63  4   4.44 45.13  68.43  6  9 
    -2440   326.4691  -63.4925   209.63  4   4.23 45.13  68.43  7  9 
   -38846   326.4691  -63.4925   209.63  4   5.04 45.13  68.43  8  9 
   -40954   326.4691  -63.4925   209.63  4   4.23 45.13  68.43  9  9 
     -102   115.9037  -26.6183   172.50  3   7.78 26.89  32.46  1  2 
    -8346   115.9037  -26.6183   172.50  3  19.11 26.89  32.46  2  2 
     -103   187.0644  -65.7828   191.32  1  20.89 20.89  23.92  1  1 
     -104   141.0696  -18.4834   334.33  1  20.42 20.42  23.45  1  1 
     -105   343.3250  -34.2173   183.24  1  20.76 20.76  23.80  1  1 
     -106   164.7320    1.1171   330.09  1  20.89 20.89  23.92  1  1 
     -107   258.9325  -26.5720   167.64  1  20.64 20.64  23.68  1  1 
     -109    96.4784  -46.1957   170.50  2  18.30 18.30  21.33  1  1 
     -111   177.5824  -56.4996   180.02  2  19.65 19.65  22.69  1  1 
     -112   308.8040  -67.2200   192.94  3   8.36  8.36  11.39  1  1 
     -113   194.5058  -25.8557   180.64  1  20.43 20.43  23.46  1  1 
     -115    15.4048  -53.3022   157.80  2  19.09 19.09  22.13  1  1 
     -117   320.7517  -48.4054   152.92  3  13.33 13.33  16.37  1  1 
     -118   194.2839  -13.2584   348.60  2  18.53 18.53  21.56  1  1 
     -119   324.9973  -21.7059     8.78  2  17.70 17.70  20.74  1  1 
     -120   211.5299  -61.5768   170.76  4   4.16  4.16   7.19  1  1 
     -121    32.6084   -0.0394    21.13  1  20.05 20.05  23.09  1  1 
     -122    84.7466  -58.7855   201.29  2  15.25 15.25  18.29  1  1 
     -124   183.4993  -32.6042   191.28  1  20.10 20.10  23.14  1  1 
     -125   262.8298   -0.0250    27.35  2  15.01 34.48  40.04  1  2 
